Topic,Count,Name,Representation,Representative_Docs
100,60,100_mutual_aid_sustainability_sustmeme,"['mutual', 'aid', 'sustainability', 'sustmeme', 'sustmemecom', 'thnx', 'msg', 'broadly', 'aligned', 'energy']","['Posts from profiles, both professional and personal, sharing insights and information around #sustainability in Built Environment.\nCurated via List by @sustmeme.com —\xa0content is broadly aligned with dedicated SustMeme Magazine Channel.\nTo be added, please msg for review. Thnx.', 'Posts from profiles, both professional and personal, sharing insights and information around #sustainability in Climate & Energy.\nCurated via List by @sustmeme.com —\xa0content is broadly aligned with dedicated SustMeme Magazine Channel.\nTo be added, please msg for review. Thnx.', 'Posts from profiles, both professional and personal, sharing insights and information around #sustainability in Circular Economy.\nCurated via List by @sustmeme.com —\xa0content is broadly aligned with dedicated SustMeme Magazine Channel.\nTo be added, please msg for review. Thnx.']"
101,59,101_autistic_autism_adhd_neurodivergent,"['autistic', 'autism', 'adhd', 'neurodivergent', 'neurodiversity', 'neurodivergents', 'audhd', 'adults', 'syndrome', 'neuroanatomy']","['Autistic', 'A feed of Neurodivergent–related keywords & neurodivergent persons.\r\n\r\n* Autism, Autistic, Actually Autistic, Autistic Actually, ADHD, AuDHD, OCD, Dyslexia, Dyspraxia, Dyscalcelia, Dysgraphia, Hyperlexia, Synesthesia, Neurodiversity, Neurodivergent, Neuroatypical, & more!\r\n\r\nPowered by Graze.social.', 'Bringing together all Neurodivergents - autism, autistic, adhd, audhd, actually autistic, neurodiversity, neurodivergent, of course neurospicy and more']"
102,59,102_josh_sciencesocial_discordggqgjfy8wqst_joshuniversecom,"['josh', 'sciencesocial', 'discordggqgjfy8wqst', 'joshuniversecom', 'official', 'discord', 'website', 'universe', 'moderation', 'questions']","['Official Astrophysics feed on Bluesky by Science.Social and Josh Universe. Use the #astrophysics hashtag to post to this feed.\n\nContact us via Discord for questions or moderation: discord.gg/QgjFy8wQST\nOfficial Website: joshuniverse.com', 'Official Engineering feed on Bluesky by Science.Social and Josh Universe. Use the #engineering, #engineer, or #aerospaceengineering hashtag to post to this feed.\n\nContact us via Discord for questions or moderation: discord.gg/QgjFy8wQST\nOfficial Website: joshuniverse.com', 'Official Biology feed on Bluesky by Science.Social and Josh Universe. Use the #biology or #bio hashtag to post to this feed.\n\nContact us via Discord for questions or moderation: discord.gg/QgjFy8wQST\nOfficial Website: joshuniverse.com']"
103,58,103_christianity_jesus_bible_christian,"['christianity', 'jesus', 'bible', 'christian', 'esv', 'faith', 'christians', 'missional', 'believes', 'ponder']","['See what both Protestant and Catholic Christians are saying about Jesus, the Bible, God’s love, faith, grace, and more. Get encouragement, hope, and insights!\n\n""Whoever believes in him should not perish but have eternal life."" - John 3:16b (ESV)\n\n#Christianity #Bible #Jesus', 'Here are some popular Christian themed posts to ponder!\n\n#Christianity #Bible #Jesus', 'See what Catholic & Orthodox Christians are saying about Jesus, the Bible, God’s love, faith, grace, and more. Get encouragement, hope, and insights into the Christian life.\n\n""Whoever believes in him should not perish but have eternal life."" - John 3:16b (ESV)\n\n#Christianity #Bible #Jesus #Catholic']"
104,58,104_katharine_hayhoes_climate_financial,"['katharine', 'hayhoes', 'climate', 'financial', 'pack', 'starter', 'based', 'money', 'starterpack', 'finance']","[""Feed based on Katharine Hayhoe's Starter Pack:\nKatharine's Canadian Climate Scientists.\nLink: https://go.bsky.app/GcVKfkc"", ""This feed is based on Katharine Hayhoe's Starter Pack: Climate Scientists Katharine Recommends.\nhttps://go.bsky.app/7Mbnoge"", 'This feed is based on Katharine Hayhoes Starter Pack on Climate Science & Research Orgs.\nhttps://go.bsky.app/5kuYAhM']"
105,57,105_wars_star_albertmpadillabskysocial_starwars,"['wars', 'star', 'albertmpadillabskysocial', 'starwars', 'republic', 'galaxy', 'luke', 'instead', 'skeleton', 'andor']","['Posts involving fan-created Characters in Star Wars', 'Find all posts relating to Star Wars!', 'Star Wars Feed']"
106,56,106_just_my_ok_literally,"['just', 'my', 'ok', 'literally', 'guess', 'chawan', 'shameful', 'poops', 'stupidest', 'thesethese']","['just my posts', 'Just my posts', 'Just my posts...']"
107,55,107_avgeek_india_aviation_australian,"['avgeek', 'india', 'aviation', 'australian', 'shropshire', 'aussie', 'shortland', 'apples', 'trackers', 'adsb']","['top avgeek and aviation posts without the bots! add #avgeek to your post for it to be added', 'all things avgeek and aviation without the bots! blend of new and trending posts. add #avgeek to your post for it to be added', 'avgeek and aviation videos. use #avgeek or #aviation on your post for it to show up in the feed']"
108,55,108_gems_hidden_jersey_local,"['gems', 'hidden', 'jersey', 'local', 'state', 'culture', 'beauty', 'explore', 'vibrant', 'south']","['Discover the beauty and charm of North Carolina! Explore hidden gems, travel tips, and local attractions for your next adventure.', 'Discover the beauty of Utah! Explore stunning landscapes, local culture, outdoor adventures, and hidden gems across this breathtaking state.', 'Explore the beauty and charm of West Virginia! Discover outdoor adventures, local culture, and hidden gems across this stunning state.']"
109,55,109_yohanplumbskysocial_spectreskullbskysocial_popular_most,"['yohanplumbskysocial', 'spectreskullbskysocial', 'popular', 'most', 'mech', 'brought', 'universe', 'amazingly', 'ctrlfbskysocial', 'cultureshipname']","['All things mech!\n\nIf you have a mech media suggestion to include in here, send me a message @pauloprudente.bsky.social', 'The Most Underrated Social Media Posts in the Known Universe, brought to you by @tindizzy.bsky.social', ""An attempt to curate @solomonmissouri.bsky.social's feed, identifying his most popular longform threads. Experimental.""]"
110,55,110_typescript_survivor_apps_apple,"['typescript', 'survivor', 'apps', 'apple', 'store', 'mobile', 'season', 'survivorau', 'apptweak', 'metaframeworks']","['typescript', 'typescript', 'Feed for the CBS show Survivor. Contains posts with #survivor, season tags such as #survivor47, and international tags such as #survivorau']"
111,54,111_goes_heres_art_here,"['goes', 'heres', 'art', 'here', 'my', 'where', 'literallly', 'wolfs', 'all', 'resides']","['All my art goes here.', 'All my art goes here 💜', 'All my art goes here!']"
112,54,112_vrchat_vr_reality_vrchatrelated,"['vrchat', 'vr', 'reality', 'vrchatrelated', 'vrchatworld', 'augmented', 'vrc', 'spicyvrc', 'vrcphoto', 'dupes']","['All Things VRChat', 'VRChat content', 'All posts in #VRChat']"
113,53,113_ocs_oc_marrow_art,"['ocs', 'oc', 'marrow', 'art', 'ares', 'done', 'drawings', 'my', 'drawn', 'various']","['All Artwork of My OCs', 'Art that features my OCs!', 'Art of my OCs']"
114,52,114_test_dataset_27th_sample,"['test', 'dataset', '27th', 'sample', 'interactions', 'registered', 'advanced', 'empty', 'march', 'didnt']","[""Experimental feed. Building block for more advanced feeds.\nDataset:\nMarch 27th 2024\nIf you registered later or didn't have enough mutual interactions to get on this dataset sample - the feed will be empty for you."", ""Experimental feed. Building block for more advanced feeds.\nDataset:\nMarch 27th 2024\nIf you registered later or didn't have enough mutual interactions to get on this dataset sample - the feed will be empty for you."", ""Experimental feed. Building block for more advanced feeds.\nDataset:\nMarch 27th 2024\nIf you registered later or didn't have enough mutual interactions to get on this dataset sample - the feed will be empty for you.""]"
115,52,115_basketball_womens_nba_usl,"['basketball', 'womens', 'nba', 'usl', 'hockey', 'pwhl', 'league', 'aleague', 'mens', 'ncaa']","['NBA & FIBA basketball (currently almost exclusively NBA though). Chronological.', ""Posts about men's NCAA basketball and its teams, games, players, coaches, tournaments, and conferences"", 'Posts about Womens Basketball']"
116,50,116_articbleubskysocial_jareddillonbskysocial_yohanplumbskysocial_art,"['articbleubskysocial', 'jareddillonbskysocial', 'yohanplumbskysocial', 'art', 'by', 'brazilianmiku', 'broomfiebskysocial', 'alienfirstbskysocial', 'andriy', 'asterion']","['Artwork related to the character 8ball and the story Billiards Gang by @articbleu.bsky.social!', 'Logotypes created by Andriy Lukin', 'Artwork related to the characters Stubby & Astronomer and the story Wishing Star by @articbleu.bsky.social!']"
117,49,117_final_fantasy_hololive_holoid,"['final', 'fantasy', 'hololive', 'holoid', 'xenoblade', 'her', 'viii', 'vii', 'arknights', 'eunha']","['Feed focusing on any posts about hololive Indonesia & fans. This feed performs a thorough search for holoID related terms and hashtags, except fanart tags.\n\nFind ""holoID Art"" for fanart posts!\n\nThis subfeed will be a part of a hololive production topic megafeed.\n\n#hololive #holoID #hololiveIndonesia', ""Keep goin'? >Off course! >No, way!\nA feed for all things Final Fantasy VII | Final Fantasy 7"", 'All the content of the Final Fantasy Feed, but without Final Fantasy 14']"
118,49,118_ships_voyager_tuvok_neelix,"['ships', 'voyager', 'tuvok', 'neelix', 'uss', 'janeway', 'captain', 'ship', 'belanna', 'tuvix']","['Chakotay was a 24th century human and Starfleet officer before joining the Maquis, later joining the crew of the starship USS Voyager as First Officer under Captain Janeway during their seven year journey back to Earth\n\n(all mentions of Chakotay)\n\nID: Chakotay against a purple/white background', ""Computer, activate holodeck program Chez Sandríne à Marsailles. Load characters: Janeway, Chakotay, Tuvok, Seven, Neelix, Tom, Harry, B'Elanna, the EMH, and Tuvix. Safety protocols... off\n\nBluesky feed for Star Trek: Voyager\n#VOY #Voyager #StarTrek\n\n[ID: Janeway sits on a pool table]"", ""Tuvok, husband to T'pel, father of four, Starfleet dropout, mildmeld extraordinaire, junior science officer aboard the USS Excelsior under Captain Sulu, chief of security aboard the USS Voyager under Captain Janeway. #VOY #StarTrek\n\n(all mentions of Tuvok)\n\n[ID: portrait of Tuvok]""]"
119,48,119_emoji_tagged_melihat_pengaturan,"['emoji', 'tagged', 'melihat', 'pengaturan', 'centang', 'hapus', 'konten', 'matikan', 'fotogambar', 'bahasa']","['ALL my art tagged with a 🔥 emoji', 'ALL my art tagged with a ⛓️ emoji', 'Feed for all of my Art, tagged with the 🎨\n emoji.']"
120,48,120_homepage_nmrchat_dialuci_torii,"['homepage', 'nmrchat', 'dialuci', 'torii', 'iox', 'couchpeloton', 'mrclmbs', 'mrclmb', 'gigem', 'airing']","['NMRchat feed, v0.3, works with keywords NMR, NMRchat #EPR, NMRnews and #NMRchat\ncontact @dnpfred', 'DiaLuci Week runs annually from July 8 to July 20! Be sure to tag #dialuciweek to appear on this feed! Concepts under the DiaLuci umbrella include Diacifer, Lucivolo and DiaLuci (switching)!', 'Latest/Popular Posts about The Walking Dead, The Walking Universe, Spinoffs, Characters & Cast of TWD\n\n**Feed may contain spoilers for shows airing or airing in the future. Muting #spoilers MAY help**\n\n#twd #twdu #twdfamily #thewalkingdead #twddaryldixon #twddd #deadcity #towl #theoneswholive']"
121,48,121_camprevpit_sprints_encouragement_calm,"['camprevpit', 'sprints', 'encouragement', 'calm', 'vibes', 'advice', 'prompts', 'writers', 'freelance', '2025']","['A community feed for all things Fantasy CampRevPit 2025 – updates, prompts, sprints, advice, and encouragement for writers.\n\nBlueskyFeedCreator.com', 'A community feed for all things Fantasy CampRevPit 2025 – updates, prompts, sprints, advice, and encouragement for writers.\n\nBlueskyFeedCreator.com', 'A community feed for all things Fantasy CampRevPit 2025 – updates, prompts, sprints, advice, and encouragement for writers.\n\nBlueskyFeedCreator.com']"
122,48,122_education_educators_teachers_practices,"['education', 'educators', 'teachers', 'practices', 'homeschooling', 'classroom', 'fes', 'homeschool', 'clearthelist', 'studies']","['Best practices, pedagogy, lessons, policy. Feed for Education related content.', 'A feed for discussion related to education.\n\nThis feed filters #EduSky posts to help prioritize conversations related to education & teaching.\n\nIf you follow @afreeparticleemoji.bsky.social you can use 🍎 to post to the feed.', 'A feed for all things PK-16 education. Includes professors of education, K-12 educators, and people who study education.']"
123,47,123_osnat_tzadok_art_by,"['osnat', 'tzadok', 'art', 'by', 'commissions', 'choilacanth', 'fictograph', 'bykaraiarai', 'arty', 'ahnik']","['All arty things by Fonda Yvonne [@easyminds]', 'these ones do words good\n\nart: the forest by osnat tzadok', 'my poor attempts with haiku, tanka, senryu, et al\n\nart: bright future by osnat tzadok']"
124,47,124_crypto_blockchain_bitcoin_cryptocurrency,"['crypto', 'blockchain', 'bitcoin', 'cryptocurrency', 'web3', 'solana', 'btc', 'nanocurrency', 'stablecoins', 'cryptoart']","['The best place to show how crypto and blockchain are reshaping our world ""BTC, Altcoin, Bitcoin, ICO, Airdrop, Token, Bull market, DApp, Smart contract, Satoshi, Meme coin, Fork, Distributed Ledger, Defi, Web 3, NFT, Exchange...""\nYou can post to the feed using #Crypto', 'This feed will include posts about crypto', 'Web3, blockchain, etc. but no crypto.']"
125,46,125_duty_japanese_call_keller,"['duty', 'japanese', 'call', 'keller', 'gaz', 'jdrama', 'cod', 'shogun', 'katamari', 'garrick']","['A feed dedicated to Johnny Soap Mactavish from Call of Duty.\nWILL CONTAIN SHIPS.\nTo make sure posts show up here put one of these keywords;\nJohnny Soap Mactavish\nJohnny Mactavish\nCOD Soap // Made at BlueskyFeeds.com', 'A feed dedicated to Kyle Gaz Garrick from Call of Duty.\nWILL CONTAIN SHIPS.\nTo make sure posts show up here put one of these keywords;\nKyle Gaz Garrick\nKyle Garrick\nCOD Gaz\nGaz Nation // Made at BlueskyFeeds.com', 'A feed dedicated to Alex Keller from Call of Duty.\nWILL CONTAIN SHIPS.\nTo make sure posts show up here put one of these keywords;\nCOD Alex Keller\nAlex Keller COD\nCall Of Duty Alex Keller // Made at BlueskyFeeds.com']"
126,45,126_first_my_cozy_oine,"['first', 'my', 'cozy', 'oine', 'babys', 'turnip', 'starters', 'newsfeed', 'warm', 'terrible']","['my first feed', 'My first feed', 'my first feed']"
127,45,127_trek_startrek_cookieparty_star,"['trek', 'startrek', 'cookieparty', 'star', 'framesearlgreymemesclub', 'snw', 'nmb48', 'hungariancities', 'noisyastronomerbskysocial', 'historicalfiction']","[""A feed dedicated to Star Trek Adventures. Let's play."", 'Star Trek: Section 31\n#Section31 #StarTrek\n\n[ID: Georgiou sits with legs spread]', 'Star Trek: Strange New Worlds SNW\n#SNW #StrangeNewWorlds #StarTrek\n\n[ID: SNW poster]']"
128,44,128_nsfw_kiiowa_durham_fetish,"['nsfw', 'kiiowa', 'durham', 'fetish', 'pokmon', 'nonbinarynsfw', 'bluesky', 'wtf', 'flagged', 'automatic']","[""video posts featuring bluesky's Goddesses, Mistresses, Dominas, Mommies, Daddies, Princesses, Queens, Deities and other supreme femme beings. worship and pay your respects accordingly! \r\n\r\nmore NSFW feeds 👉🏻 clarabelle.club/feeds\r\n\r\nuse #femdom to post directly to feed (dommes ONLY)"", 'A feed of all NSFW posts on Bluesky.', 'An automatic feed for all things relating to the lime blood fantroll Kiiowa! \r\nTag your posts and artwork of them with the name kiiowa or #kiiowa to show up in this feed!\r\nKiiowa belongs to @cloun.bsky.social\n\nBlueskyFeedCreator.com']"
129,43,129_sonic_hedgehog_hedgehogs_tails,"['sonic', 'hedgehog', 'hedgehogs', 'tails', 'franchise', 'satam', 'sonicthehedgehog', 'peachaels', 'shadow', 'archie']","['Sonic the Hedgehog THE FEED', 'Nsfw sonic artists', 'All my Sonic related art']"
130,43,130_indepth_technology_topics_explore,"['indepth', 'technology', 'topics', 'explore', 'science', 'sortdesc', 'makeskyfeed', 'select839lists', 'filter7daypostonly', 'select839listsai']","['Explore in-depth technology and science topics', 'Explore in-depth technology and science topics', 'Explore in-depth technology and science topics']"
131,43,131_compilation_find_easy_easier,"['compilation', 'find', 'easy', 'easier', 'access', 'art', 'my', 'can', 'here', 'felis']","['You can find my artwork here!', 'You can find all my art here !', 'You can find all my art here!']"
132,43,132_palestine_gaza_palestinian_genocide,"['palestine', 'gaza', 'palestinian', 'genocide', 'suspicious', 'humanrights', 'israel', 'jealuc', 'activity', 'congo']","[""Gathering of all BTS fan accounts' posts with the liberation of Palestine as an aim.\r\n\r\nTo join this feed, you only need to use #ARMY4Palestine.\r\n\r\nPlease report any suspicious activity to @bagbs.bsky.social.\r\n\r\n#Palestine #Gaza #HumanRights #BTS #BTSARMY\n\nBlueskyFeedCreator.com"", 'feed for palestine', ""Gathering of all BTS fan accounts' posts with the liberation of Palestine as an aim.\n\nTo join this feed, you only need to use #ARMY4Palestine.\n\nPlease report any suspicious activity to @bagbs.bsky.social.\n\n#Palestine #Gaza #HumanRights #BTS #BTSARMY""]"
133,43,133_wip_wips_setup_yeonbin,"['wip', 'wips', 'setup', 'yeonbin', 'whc', 'bison', 'desk', 'desksetup', 'wyrley', 'tubatus']","['[WIP]', '[WIP]', '[WIP]']"
134,42,134_test_testy_meh_hose,"['test', 'testy', 'meh', 'hose', 'audhd', 'epic', 'ask', 'challenge', 'no', 'the']","['TEST', 'test', 'Test']"
135,42,135_merch_shop_goods_archive,"['merch', 'shop', 'goods', 'archive', 'shops', 'etsy', 'catalogues', 'licensed', 'updates', 'openings']","[""Every WIPs and news about my etsy shop's merch! SHOP NOW👉www.etsy.com/shop/Lingishop"", ""Chii's Merch 💚"", 'merch and shop updates!']"
136,42,136_flooding_weather_australian_relating,"['flooding', 'weather', 'australian', 'relating', 'missile', 'state', 'israel', 'saudi', 'rainsky', 'territory']","['This feed is for posts relating to flooding in the Australia.', 'This feed is for posts relating to flooding in the Australian state of Western Australia (WA).', 'This feed is for posts relating to flooding in the Australian state of South Australia (SA).']"
137,42,137_taylor_swift_uncanny_swifties,"['taylor', 'swift', 'uncanny', 'swifties', 'rap', 'battle', 'pioneers', '1989', 'geospatial', 'easter']","['Feed of just posts including the name ""Taylor Swift""!!', 'Posts about Taylor Swift', 'Taylor Swift']"
138,41,138_emoji_emojis_sandwich_dungeons,"['emoji', 'emojis', 'sandwich', 'dungeons', 'bitcoin', 'blureactintellogcom', 'counting', 'tastefulimplied', 'thanx', 'recover']","['Replies that are just a 📝 emoji. If you know you know.', ""Feed that contains my updates, I'll be using the emoji 📝 in my posts for them to be added to this feed!"", '🧐🔥 Get the latest breaking news, explained with emojis—no text (to the best of our ability), just pure emoji storytelling. Stay informed in the most visual and playful way possible!\n\n👑 Presented by https://emojichat.net - Emoji-only chat network 🤩']"
139,41,139_iwish_artwork_compiling_art,"['iwish', 'artwork', 'compiling', 'art', 'chunkofwaxcom', 'vgencopiku', 'ohl', 'resin', 'lilgreenfoxs', 'keigora']","['A Feed of all my Artwork!', 'A feed for all of my artwork!', 'Art feed of all my iWish art from my iWish webcomic series and then some!']"
140,41,140_art_artifexdemons_aestrayas_daisysan,"['art', 'artifexdemons', 'aestrayas', 'daisysan', 'daa', 'artnectars', 'ogramiras', 'pervy', 'theverdanthares', 'tacocats']","['The Pervy Art Feed of TMDaemon!', 'Arthur X Minfilia (wolfilia) art feed!', 'Eric Kim art feed only. Bypass my ramblings! Just look at my drawings! La di daa']"
141,41,141_fics_ao3_fic_reveals,"['fics', 'ao3', 'fic', 'reveals', 'worf', 'completed', 'extension', 'posted', 'yume', 'son']","['All my fics posted to AO3', ""auguststarfall's AO3 fics"", 'my fics on ao3 :)']"
142,41,142_httpsdazzlefmalgorithms_sort_explore_top,"['httpsdazzlefmalgorithms', 'sort', 'explore', 'top', 'exploring', 'atproto', 'apps', 'performer', 'atprotobased', 'windsurfing']","['Explore the latest innovations on ATProto (top sort)\n\nhttps://dazzle.fm/algorithms', 'Explore product strategy for atproto-based solutions (top sort)\n\nhttps://dazzle.fm/algorithms', 'Explore the latest apps on ATProto (top sort)\n\nhttps://dazzle.fm/algorithms']"
143,40,143_test_testing_test1_test3,"['test', 'testing', 'test1', 'test3', 'speedo', 'test2', 'mm', 'veteran', 'quick', 'just']","['test', 'test', 'test']"
144,40,144_indepth_technology_topics_science,"['indepth', 'technology', 'topics', 'science', 'explore', 'and', '', '', '', '']","['Explore in-depth technology and science topics', 'Explore in-depth technology and science topics', 'Science technology']"
145,39,145_electric_cars_ev_vehicles,"['electric', 'cars', 'ev', 'vehicles', 'running', 'runners', 'emobility', 'aptera', 'rivian', 'vehicle']","['All things electric transportation, but mostly EVs. Other inclusion criteria: electric ferries, electric aviation. Any mention of Elon Musk excludes that post. Help me expand and refine this feed by providing feedback to theflyer.bsky.social', 'All about electric vehicles -- this feed is centered around cars and trucks.', 'Matches posts containing:\n\n🔌🚗\n🔌🚌\n🔌🚚\n🔌🛥️\n🔌🚤\n🔌🚢\n🔌🛳️\nEV\nElectric Vehicle\nEVcharging\nElectric car\nElectric Bus\nElectric Ship\nElectric Boat']"
146,39,146_furry_toy_android_furries,"['furry', 'toy', 'android', 'furries', 'robot', 'furrylist', 'slutdog', 'nsfw', 'fantasy', 'toys']","['Furry\nLatest video posts by furries across Bluesky. Contains a mix of SFW and NSFW content.\n\nJoin the furry feeds by following @furryli.st', 'Furry\nHottest NSFW video posts by furries across Bluesky. Contains only NSFW content.\n\nJoin the furry feeds by following @furryli.st', 'Furry\nLatest NSFW video posts by furries across Bluesky. Contains only NSFW content.\n\nJoin the furry feeds by following @furryli.st']"
147,39,147_watching_tweets_beidou_beatyesterday,"['watching', 'tweets', 'beidou', 'beatyesterday', 'instarsandtime', 'garmin', 'galileo', 'glonass', 'gnss', 'occurrences']","['Surfaces all tweets containing any [[Wiki Link]] syntax.', 'In Stars and Time feed REAL??!?!? OFFICIAL?!?!? FOR REALSIES??!?!? ✨✨✨\n\n#instarsandtime #isat', 'Posts related to GNSS (GPS, GLONASS, Galileo, Beidou, etc.)']"
148,39,148_media_medias_neigh_mixed,"['media', 'medias', 'neigh', 'mixed', 'grithors', 'colto', 'autumngarnets', 'flopsfeed', 'yote', 'tealbitzs']","['My media!', ""Grithor's Media"", ""TeaLBiTZ's Media""]"
149,38,149_pic_writing_bikini_horse,"['pic', 'writing', 'bikini', 'horse', 'wet', 'horses', 'horsegrooming', 'bustypetite', 'oiled', 'gape']","['A feed for horses, horse girls, and everyone who loves them — from riding clips to memes to barn life.\r\nPost with #horses or #horsegirl and your videos will show up here.\r\nDM @subarustan.bsky.social to have your full profile and all future videos added.', 'A feed of posts citing the following tags or terms: #mosquitoes, #Culicidae and names of the 30 genera (out of 98) the most represented in the GBIF.\n\n!! What appears in a feed also depends on your langage settings !!\n\nDo not forget to capitalize genus names !', 'feed for wet tshirt pic just use #wettshirt, wet shirt or wet tshirt to get your pic in the feed']"
150,37,150_impact_honkai_genshin_3rd,"['impact', 'honkai', 'genshin', '3rd', 'hi3rd', 'convienience', 'fragment', 'ayrlin', 'rail', 'feedhonkai']","[""Feed dedicated to the characters primarily affiliated with Cocolia's Orphanage in Honkai Impact 3rd. \n\na fragment of a more comprehensive hi3rd feed(Honkai Impact 3rd), for your convienience.\n- ayrlin"", 'Feed dedicated to a curated list of notable Honkai Impact 3rd content creators and accounts.\n\na fragment of a more comprehensive hi3rd feed(Honkai Impact 3rd), for your convienience.\n- ayrlin', 'Feed dedicated to the various names of Honkai Impact 3rd. \n\na fragment of a more comprehensive hi3rd feed(Honkai Impact 3rd), for your convienience.\n- ayrlin']"
151,37,151_ukraine_war_osint_govua,"['ukraine', 'war', 'osint', 'govua', 'ukrainianview', 'ukrainians', 'humanitarian', 'independentjulia', 'crimea', 'davisukrainian']","['English-language feed about Ukraine and Ukraine war.', 'News from Ukraine 🇺🇦', 'News about Ukraine']"
152,37,152_recomendations_maximize_trip_traveling,"['recomendations', 'maximize', 'trip', 'traveling', 'gowhee', 'families', 'tips', 'parents', 'usa', 'kids']","['Discover and share tips with other families about traveling to Minnesota, USA with kids. From local recomendations to tips to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag #gowheeMN', 'Discover and share tips with other families about traveling to Oregon USA with kids. From local recomendations to tips to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag #gowheeOR', 'Discover and share tips with other families about traveling to California USA with kids. From local recomendations to tips to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag: #gowheeCA']"
153,37,153_translation_flowers_geoguessr_garden,"['translation', 'flowers', 'geoguessr', 'garden', 'lawn', 'gardening', 'roses', 'translations', 'public', 'multilingual']","['All my Metaphor: ReFantazio JP/EN translation comparisons (and any other related translations - interviews, etc - that may be posted in the future.)', 'All my SK8 translation stuff (interviews, etc)', ""A feed for flowers. Inspired by the efforts of Alyssa Harad, continuing the work begun by Teju Cole, a project where people post a pic of whatever is blooming in their location. Not just for Sundays! Add #FlowerReport to your post, and please add Alt text to your images if you're able to.""]"
154,37,154_things_incluying_betrifft_dither,"['things', 'incluying', 'betrifft', 'dither', 'argument', 'divineweave', 'jbeauty', 'goanimate', 'cams21', 'raych']","['Just random stuff I am interested in, UK political stuff, world politics, street art, motorcycles, rock music, whisky, Germany etc', 'All things Leomon! His Death Flags keep waving, but we love him anyway.', ""Stuff that's more good than bad, and more positive than negative, and more conversation than argument. meant to keep your nervous system chill while keeping you up to date.""]"
155,36,155_ponymlp_little_past_mlp,"['ponymlp', 'little', 'past', 'mlp', 'days', 'mlpart', 'mylittlepony', 'mlpartist', 'pooled', 'bryastarbskysocial']","['Top liked My Little Pony images from the past 24 hours.\n\nPooled from the following tags from the past 24 hours: #mlp, #mylittlepony #mlpart, #mlpartist\n\nDoes not contain NSFW, AI art, or posts from accounts that primarily repost other artists.\n\nContact: @bryastar.bsky.social', 'Top liked My Little Pony images from the past 7 days.\n\nPooled from the following tags from the past 7 days: #mlp, #mylittlepony #mlpart, #mlpartist\n\nDoes not contain NSFW, AI art, or posts from accounts that primarily repost other artists.\n\nContact: @bryastar.bsky.social', 'Top liked My Little Pony images from the past 3 days.\n\nPooled from the following tags from the past 3 days: #mlp, #mylittlepony #mlpart, #mlpartist\n\nDoes not contain NSFW, AI art, or posts from accounts that primarily repost other artists.\n\nContact: @bryastar.bsky.social']"
156,36,156_destructive_unfactual_contained_harmful,"['destructive', 'unfactual', 'contained', 'harmful', 'hateful', 'disclaimer', 'treat', 'potentially', 'otherwise', 'inappropriate']","['Video first feed for all things global related.\r\n\r\n*Disclaimer: due to human nature, inappropriate content can be contained within this feed.  Treat this and any other feed as potentially containing adult, harmful, hateful, un-factual or otherwise destructive content.', 'A video first feed for all things books.\r\n\r\n*Disclaimer: due to human nature, inappropriate content can be contained within this feed.  Treat this and any other feed as potentially containing adult, harmful, hateful, un-factual or otherwise destructive content.', 'Video first feed for all things music.\r\n\r\n*Disclaimer: due to human nature, inappropriate content can be contained within this feed.  Treat this and any other feed as potentially containing adult, harmful, hateful, un-factual or otherwise destructive content.']"
157,36,157_women_white_men_featuring,"['women', 'white', 'men', 'featuring', 'asian', 'curated', 'black', 'nsfw', 'bmaf', 'wmaf']","['A curated feed of NSFW posts featuring white men and black women.', 'A curated feed of NSFW posts featuring black men and white women.', 'A curated feed of NSFW posts featuring white men and asian women.']"
158,35,158_climate_change_warming_crisis,"['climate', 'change', 'warming', 'crisis', 'artivist', 'promisesjust', 'spending', 'climatechange', 'wealth', 'gregg']","['Climate Crisis Feed\n\nFinds the keywords ""climate change"", ""greenhouse gas"", ""global warming"", ""climate scientist(s)"", ""climate crisis"", ""climate emergency"", ""emissions"" and ""renewable(s)""\n\nIt also picks up the hashtags #ClimateChange and #ClimateCrisis, #GlobalBoiling and #ClimateAction', 'Climate Change News', 'All about climate change']"
159,35,159_astronomy_scienceoriented_astronomers_botastronomyblue,"['astronomy', 'scienceoriented', 'astronomers', 'botastronomyblue', 'sign', 'signed', 'part', 'via', 'main', 'heliophysics']","['A science-oriented feed about Galactic astronomy. Part of the Astronomy feeds network.\nAstronomers can sign up to post here via @bot.astronomy.blue\nContains posts from signed up users with #galactic or #galacticastro.\nPosts here are also included in the main Astronomy feed.', 'A science-oriented feed about high-energy astronomy and astroparticle physics! Part of the Astronomy feeds network.\nAstronomers can sign up to post here via @bot.astronomy.blue\nContains posts from signed up users with #highenergyastro.\nPosts here are also included in the main Astronomy feed.', 'A science-oriented feed about radio astronomy! Part of the Astronomy feeds network.\nAstronomers can sign up to post here via @bot.astronomy.blue\nContains posts from signed up users with #radioastronomy or #radioastro.\nPosts here are also included in the main Astronomy feed.']"
