Topic,Count,Name,Representation,Representative_Docs,Total_Likes,Average_Likes
127,45,127_osnat_tzadok_by_art,"['osnat', 'tzadok', 'by', 'art', 'gemerency', 'jungleworldbubble', 'alte', 'cndcrd', 'cptsalmon', 'elysianaut']","['Art by Grace P. Fong (fictograph).', 'these ones do words good\n\nart: the forest by osnat tzadok', 'my poor attempts with haiku, tanka, senryu, et al\n\nart: bright future by osnat tzadok']",127,2.82
128,44,128_allowww_briize_artphotomusic_esther,"['allowww', 'briize', 'artphotomusic', 'esther', 'tolong', 'ttpd', 'maxies', 'theos', 'baca', 'upchar']","['𐙚₊˚— get to know esther!', '🧡 For THAI BRIIZE 🇹🇭', 'Tolong di baca💗']",152,3.45
129,43,129_wip_wips_setup_whc,"['wip', 'wips', 'setup', 'whc', 'desk', 'desksetup', 'theriac', 'wyrley', 'wpays', 'waaay']","['wip', 'wip', '[WIP]']",40,0.93
130,43,130_sfw_mythiccvixen_received_artwork,"['sfw', 'mythiccvixen', 'received', 'artwork', 'illustrutations', 'lasciviousfox', 'mhm', 'lilacc', 'contaning', 'cheeks']","[""All of Butterscotch's SFW art posts."", ""all of marisketch's sfw art"", 'all my SFW art!']",66,1.53
131,43,131_gposes_dragon_jaylah_wolposting,"['gposes', 'dragon', 'jaylah', 'wolposting', 'mateo', 'age', 'emetwol', 'con', 'directory', 'prompts']","['only the gposes', 'All the gposes ✧', 'All of my GPOSEs!']",455,10.58
132,43,132_donate_blueskyfeedcreatorcom_abdl_nokings,"['donate', 'blueskyfeedcreatorcom', 'abdl', 'nokings', 'oct', 'met', 'vids', 'pamverse', 'chotiner', 'chotinerings']","['#NoKings posts with videos\n\nBlueskyFeedCreator.com\nDonate: https://blueskyfeedcreator.com/p/ericpberry.bsky.social/NoKingsVideos#donate', 'e’re on Gen 6 of the Dashley legacy with Tanner Sterling Philipon\n\nBlueskyFeedCreator.com\nDonate: https://blueskyfeedcreator.com/p/creativetraitsims.bsky.social/dashleylegacy#donate', 'Posts that moderation might smack my little pizza hands for with the new Oct 15th tos\n\nBlueskyFeedCreator.com\nDonate: https://blueskyfeedcreator.com/p/cactasorn.bsky.social/ShadowCactus#donate']",315,7.33
133,42,133_goth_sizesky_giantess_shrinking,"['goth', 'sizesky', 'giantess', 'shrinking', 'macrophilia', 'size', 'growth', 'gothgirl', 'pm', 'pixiegirlcambskysocial']","['Testing a custom feed for #SizeSky 🧪\n\nUse #AddToSizeSky at least once to add yourself.\nUse #SizeSky to add only a single post.\n\nOther incuded tags: BlueSize, BreastExpansion, CockVore, GiantCouple, Giantess, GiantMale, Growth, MacroFurry, Macrophilia, Shrinking, etc.\n\nPM me if you have any issues.', 'Latest size posts from the past 7 days, \nfocused on anthros 🚶\n\nMashup of #sizesky, #giantess, #gts, #sizebsky, #sizefetish, #shrinking, #growth, #macrophilia, #巨大娘, #サイズフェチ...\n\nPM me to add missing ones.\n\nBe Curious,\nBe Awesome 💗', 'Text focused size news!\nLatest Size posts 📜, focused on text and writing, from the past 7 days.\n\nMashup of #sizesky, #giantess, #gts, #sizebsky, #sizefetish, #macro, #micro, #shrinking, #growth, #macrophilia, #sizetwitter, #巨大娘, #サイズフェチ...\n\nPM me to add missing ones.\n\nBe Curious,\nBe Awesome 💗']",1069,25.45
134,42,134_animals_cute_cat_uglydogs,"['animals', 'cute', 'cat', 'uglydogs', 'dogs', 'guinea', 'dog', 'catposting', 'cats', 'dachshund']","['Cute animals feed', 'Cute animals feed', 'A feed for R+ dog training.\n\nUse any of these hashtags to be included:\n\n#positivedogtraining \n#forcefreedogtraining #rewardbasedtraining #relationshipbasedtraining #positivetrainer #positivereinforcementdogtraining #rplus #rplusdogtraining #rplusdogtrainer #fearfree #cooperativecare']",1139,27.12
135,41,135_pokemon_pokmon_rook_caught,"['pokemon', 'pokmon', 'rook', 'caught', 'pokemonfanart', 'per', 'professor', 'alphabet', 'centered', 'rookanis']","['Pokemon I caught on Pokemon Go.', 'a feed containing all of my pokemon art', 'For my pokemon related posts!']",684,16.68
136,41,136_fanart_outlast_pacman_pipin,"['fanart', 'outlast', 'pacman', 'pipin', 'desperately', 'fanarts', 'crash', 'trigun', 'idk', 'chomping']","['See only my fanart!', 'Fanart for me', 'all other fanart!']",104,2.54
137,41,137_bookmarks_adfc_accounts_bookmarkcool,"['bookmarks', 'adfc', 'accounts', 'bookmarkcool', 'adfcaccounts', 'bookmark', 'neospring', 'comedy', 'steps', 'raids']","['ADFC-Accounts', 'just a feed for my bookmarks', 'Bookmarks without 📌\n\nTo bookmark a post, click … below the post & send it via direct message to @bookmark.cool (Private Bookmarks)\n\nThe post will appear in the feed a minute later\n\nNobody else can see your bookmarks\n\nTo remove a bookmark, send it via DM to @bookmark.cool with `/delete` in the DM']",661,16.12
138,41,138_dataset_mechanical_mom_python,"['dataset', 'mechanical', 'mom', 'python', 'moms', 'sample', '27th', 'mothers', 'parenting', 'interactions']","[""Experimental feed. Building block for more advanced feeds.\nDataset:\nMarch 27th 2024\nIf you registered later or didn't have enough mutual interactions to get on this dataset sample - the feed will be empty for you."", ""Experimental feed. Building block for more advanced feeds.\nDataset:\nMarch 27th 2024\nIf you registered later or didn't have enough mutual interactions to get on this dataset sample - the feed will be empty for you."", ""Experimental feed. Building block for more advanced feeds.\nDataset:\nMarch 27th 2024\nIf you registered later or didn't have enough mutual interactions to get on this dataset sample - the feed will be empty for you.""]",1953,47.63
139,41,139_first_cozy_my_oine,"['first', 'cozy', 'my', 'oine', 'babys', 'starters', 'newsfeed', 'warm', 'terrible', 'feels']","['my first feed', 'My first feed', 'My first feed']",18,0.44
140,41,140_ych_nsfw_shaymin_fiter,"['ych', 'nsfw', 'shaymin', 'fiter', 'miqote', 'onewayexe', 'toy', 'hrothgar', 'remove', 'naughty']","['Follow this feed to see YCH offers and auctions\r\nuse keywords like YCH, auction, bid and the hashtags #ychcommission #ych and #ychauction\r\nThis feed includes NSFW drawings and furry\r\n\r\nNo AI, no NFTs\n\nBlueskyFeedCreator.com', ""🔞 NSFW YCH feed. A version of the YCH feed that has NSFW. I'm having a hard time filtering to just NSFW so it will be a mix for the time being. \n\nFeel free to DM me for any questions/concerns\n\nBe careful who you commision, be cautious of links to outside websites, be smart, and be safe!"", 'A feed of spicy, NSFW YCH commissions.\r\n\r\nSearch Terms:\r\n#nsfw * #ych, #ych * #nsfw, #nsfwych, #ychnsfw, #nsfwychopen\r\n\r\nUsing SPACE+WILDCARD+SPACE between the tags appears to allow the combination of tags pretty nicely. Good way to avoid getting every single post flagged as NSFW.']",496,12.1
141,40,141_photos_pano_panoplop_panodul,"['photos', 'pano', 'panoplop', 'panodul', 'photography', 'actual', 'pictures', 'fotografia', 'nature', 'et']","['Photos of industrial machinery and mechanics. Based on actual image contents (not tags).', 'Photography. Based on actual image contents (not tags).', 'Photographie panoramique avec le hashtag #pano,\n#PanoDul et #PanoPlop\nFotografia panoramica con el hashtag #pano, #PanoDul et #PanoPlop\nPhotography with the hashtag #pano, #PanoDul et #PanoPlop']",2833,70.82
142,40,142_wrestling_aew_wwe_prowrestling,"['wrestling', 'aew', 'wwe', 'prowrestling', 'wrestlesky', 'njpw', 'gcw', 'roh', 'ajpw', 'watchroh']","['Feed for Fans of Pro-Wrestling WWE,AEW,TNA,ROH,NJPW & Others', 'Wrestling video highlights and clips\n\nPlease tag posts with any of the 3 wrestling emojis, #prowrestling, #wrestlesky #LuchaLibre #aew, #wwe, #NJPW, #ROH, #WatchROH, #BritWres, #CMLL, #GCW, #TJPW, #ECW, #WCW, #AJPW, #DDT, #NOAH, #STARDOM', 'Posts about pro wrestling\n\nPlease tag posts with any of the 3 wrestling emojis, #prowrestling, #wrestlesky #LuchaLibre #aew, #wwe, #NJPW, #ROH, #WatchROH, #BritWres, #CMLL, #GCW, #TJPW, #ECW, #WCW, #AJPW, #DDT, #NOAH, #STARDOM']",2021,50.52
143,40,143_says_tin_personal_use,"['says', 'tin', 'personal', 'use', 'what', 'tincantrashhea', 'thedisney1901', 'thkcommu', 'heartjust', 'earl']","['What says in the tin can. 💜', 'What it says on the tin', 'What it says on the tin']",91,2.28
144,40,144_live2d_quiettomato_sauce_sam,"['live2d', 'quiettomato', 'sauce', 'sam', 'emoji', 'doll', 'ezreal', 'mangle', 'simps', 'dsaf']","[""An image feed for Day Shift at Freddy's!\n✰\nIncludes: Mainly just DSaF art\nExcludes: NSFW, Adult Content\n✰\nTags (Ignore): #DSaF #DaveMiller #JackKennedy #DayShiftatFreddys #FNaF"", 'A feed for Live2D tips, tutorials and study files. Both model art and rigging! \n\nTags include #Live2DTutorial #Live2DTips #Live2DStudy #Live2DHelp', 'An image feed for the Springtrap and Mangle series by QuietTomato!\n✰\nIncludes: Mostly S.A.M. fanart, QuietTomato posts\nExcludes: NSFW, Adult Content\n✰\nTags (Ignore): #FNaF #SpringtrapandMangle #SAM #Springtrap #Mangle #Sprangle #S.A.M. #QuietTomato #FiveNightsatFreddys']",723,18.08
145,40,145_pic_petite_rug_verified,"['pic', 'petite', 'rug', 'verified', 'realnsfwsocial', 'realnsfw', 'wet', 'babeskycomrequest', 'puffy', 'innie']","['Welcome to the Petite Feed. \n\nThis Feed is for women to show off their petite/small features. If you don’t have small features to show then this is not the Feed for you. Short does not mean petite.\n\nIn order to post to this feed all you have to do is #petite on your post.', 'feed for wet tshirt pic just use #wettshirt, wet shirt or wet tshirt to get your pic in the feed', 'feed for petite people use #petite to have your pic in the feed']",1224,30.6
146,40,146_destructive_unfactual_contained_harmful,"['destructive', 'unfactual', 'contained', 'harmful', 'hateful', 'disclaimer', 'treat', 'potentially', 'otherwise', 'inappropriate']","['Video first feed for all things global related.\r\n\r\n*Disclaimer: due to human nature, inappropriate content can be contained within this feed.  Treat this and any other feed as potentially containing adult, harmful, hateful, un-factual or otherwise destructive content.', 'A video first feed for all things books.\r\n\r\n*Disclaimer: due to human nature, inappropriate content can be contained within this feed.  Treat this and any other feed as potentially containing adult, harmful, hateful, un-factual or otherwise destructive content.', 'Video first feed for all things music.\r\n\r\n*Disclaimer: due to human nature, inappropriate content can be contained within this feed.  Treat this and any other feed as potentially containing adult, harmful, hateful, un-factual or otherwise destructive content.']",922,23.05
147,40,147_autistic_autism_adhd_neurodiversity,"['autistic', 'autism', 'adhd', 'neurodiversity', 'adults', 'neurodivergent', 'research', 'autismo', 'autisticelders', 'mutism']","['Autistic? ADHD? Combo platter? If your brain wiring is just a little unique and you feel a certain kinship with other neurodivergent folks, this thread is for you! Run by iceboxplums.bsky.social - add #ADHD or #Autistic for the feed to pick up your post! \nName credit to glitterburrito.bsky.social', 'A feed dedicated to discussions, news, research, and personal experiences about autism and ADHD. Engage, share, and learn more about neurodiversity.', 'Bringing together all Neurodivergents - autism, autistic, adhd, audhd, actually autistic, neurodiversity, neurodivergent, of course neurospicy and more']",942,23.55
148,40,148_crypto_cryptocurrency_blockchain_bitcoin,"['crypto', 'cryptocurrency', 'blockchain', 'bitcoin', 'spy', 'web3', 'cryptoart', 'stablecoins', 'nanocurrency', 'currency']","['Stay ahead in crypto! 🚀 The ultimate Bitcoin & Altcoin feed delivers news, market insights, user posts, and key updates—all in one spot. Subscribe for free and never miss a crypto beat! ⬇️ 🎯', 'Web3, blockchain, etc. but no crypto.', 'This feed will include posts about crypto']",442,11.05
149,39,149_reveals_frames_fanfiction_xiaolumi,"['reveals', 'frames', 'fanfiction', 'xiaolumi', 'alexis', 'fan', 'carats', 'lumine', 'griffia', 'extension']","[""Custom feed to only show frames from S1EP7 of Helluva Boss (OZZIE'S).\n\nI am not affiliated with Frames of Hellaverse, but just a fan of Fizzarolli who made a custom character feed awhile back and wasn't seeing the frames from this epsiode."", 'This holds fic reveals, author reveals, extension fic reveals, and extension author reveals for season 1 of BTS Guiding Light Fest!', 'Kingdom of Griffia ARPG\nTags: Griffia | GriffiaARPG | Griffian | Griffolk | Bagbean | Perfaunt | Kryptox | Fornlee | Foolee | Bavom | Novinaut | Parasplicer | Terradragon']",1123,28.79
150,39,150_locked_players_conversations_highlights,"['locked', 'players', 'conversations', 'highlights', 'stay', 'join', 'game', 'knicks', 'trollish', 'datadrivenmdsocial']","['Stay locked in on the New York Knicks! 🗽🏀 Join the latest conversations on players, news, game highlights, and more. All things Knicks, all in one place.\n\n#Knicks #NewYorkKnicks #NewYorkForever #NYKnicks', '#DubNation, minus the noise. Pin and Like this Golden State Warriors feed for real-time game reaction and friendly conversation.\n\nTo foster community among real fans, this feed downranks spammy, automated, and trollish accounts.\n\nmade with 🫶🏼 by @DataDrivenMD.social', '#NewYorkForever, minus the noise. Pin and Like this New York Knicks feed for real-time game reaction and friendly conversation.\n\nTo foster community among real fans, this feed downranks spammy, automated, and trollish accounts.\n\nmade with 🫶🏼 by @DataDrivenMD.social']",337,8.64
151,39,151_honkai_impact_genshin_3rd,"['honkai', 'impact', 'genshin', '3rd', 'hi3rd', 'convienience', 'fragment', 'rail', 'ayrlin', 'feedhonkai']","['Feed dedicated to the cinematics, animations, and music of Honkai Impact 3rd. May all the beauty be blessed.\n\na fragment of a more comprehensive hi3rd feed(Honkai Impact 3rd), for your convienience.\n- ayrlin', 'Feed dedicated to a curated list of notable Honkai Impact 3rd content creators and accounts.\n\na fragment of a more comprehensive hi3rd feed(Honkai Impact 3rd), for your convienience.\n- ayrlin', 'Feed dedicated to the various names of Honkai Impact 3rd. \n\na fragment of a more comprehensive hi3rd feed(Honkai Impact 3rd), for your convienience.\n- ayrlin']",1261,32.33
152,39,152_law_legal_lawyers_lawfare,"['law', 'legal', 'lawyers', 'lawfare', 'tariffs', 'zapatista', 'firms', 'mexico', 'httpsbskyappprofiledidplctf3cuutfe2ukjvmimfljzptdlists3lok5i2h6mr2o', 'actions']","['A feed for Law Youtubers and Law Nerds.', 'A Legal Tech feed - all things Legal technology, technology in Law Firms, IT related to law firms, general legal technology posts. Picks up common legal tech topics, but to include a post just tag your post with #legaltech or #legalit', 'Latest posts and discussions about Law.']",623,15.97
153,39,153_mindfulness_meditation_yoga_buddhism,"['mindfulness', 'meditation', 'yoga', 'buddhism', 'spiritual', 'inner', 'growth', 'zen', 'mantras', 'indulgence']","[""This feed includes posts that are tagged or mention mindfulness. Please like, pin, and share so others can find the feed. Let's build a mindfulness community here!"", 'Latest posts and discussions about Mindfulness.', 'A feed all about Mindfulness and Meditation']",214,5.49
154,39,154_battletech_mechwarrior_tracks_chiitan,"['battletech', 'mechwarrior', 'tracks', 'chiitan', 'daliban', 'dgg', 'uraume', 'mentioning', 'destinygg', 'tag']","['A feed of trending posts inside the Daliban, a community of regards devoted to spreading the word of their Black queen streamer @destiny.gg + his orbiters. Use any one of the these hashtags: #dgg, #dggL, or #daliban to post to the feed.', 'Simple Battletech and Mechwarrior feed. Includes #battletech and #mechwarrior hashtags. // Made at BlueskyFeeds.com', ""All things Battletech and MechWarrior. Use #battletech or #mechwarrior and have an image to appear on the feed, but other mentions of Battletech may also appear here!\r\n\r\nLGB-7Q is the Pride 'Mech <3""]",2463,63.15
155,38,155_recomendations_maximize_trip_traveling,"['recomendations', 'maximize', 'trip', 'traveling', 'gowhee', 'families', 'usa', 'parents', 'tips', 'kids']","['Discover and share tips with other families about traveling to Oregon USA with kids. From local recomendations to tips to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag #gowheeOR', 'Discover and share tips with other families about traveling to California USA with kids. From local recomendations to tips to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag: #gowheeCA', 'Discover and share tips with other families about traveling to New York USA with kids. From local recomendations to tips to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag: #gowheeNY']",9,0.24
156,38,156_vrchat_vrc_vrchatworld_jerry,"['vrchat', 'vrc', 'vrchatworld', 'jerry', 'vr', 'vrchatrelated', 'vrcphoto', 'iasip', 'dupes', 'vrchatphotography']","['All Things VRChat', 'VRChat content', 'All posts in #VRChat']",1131,29.76
157,38,157_starter_bluepit_brindle_pack,"['starter', 'bluepit', 'brindle', 'pack', 'representation', 'packs', 'peanuts', 'charlie', 'brown', 'fnaf']","['#BluePit posts using the People Of Color representation tag (#POC)', 'Feed of all starter packs', 'posts from the starter pack']",322,8.47
158,38,158_katharine_hayhoes_climate_pack,"['katharine', 'hayhoes', 'climate', 'pack', 'starter', 'based', 'starterpack', 'katharines', 'recommends', 'hayhoe']","[""Feed based on Katharine Hayhoe's Starter Pack:\nKatharine's Canadian Climate Scientists.\nLink: https://go.bsky.app/GcVKfkc"", ""This feed is based on Katharine Hayhoe's Starter Pack: Climate Scientists Katharine Recommends.\nhttps://go.bsky.app/7Mbnoge"", 'This feed is based on Katharine Hayhoes Starter Pack on Climate Science & Research Orgs.\nhttps://go.bsky.app/5kuYAhM']",262,6.89
159,38,159_rugby_cricket_six_nations,"['rugby', 'cricket', 'six', 'nations', 'cup', 'nwsl', 'slop', 'championship', 'australian', 'wcbb']","['This custom Six Nations feed filters and prioritises posts related to the 2025 Six Nations Championship, ensuring you see the most relevant and recent discussions.', 'This custom Six Nations feed filters and prioritises posts related to the 2025 Six Nations Championship, ensuring you see the most relevant and recent discussions.', ""Australian Rugby Union 15's feed (not 10's, 7's, or League). Captures any post with the hashtags for Super Rugby, Super W, Super Rugby AUS, Rugby Championship, Tri-Nations, Bledisloe Cup, Pacific Four, WXV2, Wallabies, Wallaroos, Shute Shield, and Hospital Cup.""]",314,8.26
160,38,160_gay_germangay_exclusion_porn,"['gay', 'germangay', 'exclusion', 'porn', 'pic', 'mancrushmonday', 'scissoring', 'gaysfw', 'gaymers', 'cucks']","['Feed to follow the hashtag #germangay posts with pics. Feed contains nsfw images (no exclusion by feed design). Collects from past 7 days, only posts, no replies or reposts. Post a pic and use #germangay', 'For those times when you wanna see #gay posts that dont make you hot and bothered - and are, so to say, Safe For Work \nGaySFW content, the feed pulls gay sfw photography, lifestyle, people from the whole gaybluesky\n#gay #gayphotography #gaysfw', 'Feed to follow the hashtag #germangay posts with pics. Feed contains nsfw images (no exclusion by feed design). Collects from past 7 days, only posts, no replies or reposts. Post a pic and use #gayselfie']",2217,58.34
161,38,161_art_my_guess_awawi,"['art', 'my', 'guess', 'awawi', 'literallly', 'erincrisis', 'verbiage', 'jojo', 'yknow', 'all']","['All my art', 'all my art', 'all my art :3']",76,2.0
162,38,162_ponymlp_little_past_pony,"['ponymlp', 'little', 'past', 'pony', 'days', 'have', 'mlp', 'any', 'mlpartist', 'pooled']","['Top liked My Little Pony images from the past 24 hours.\n\nPooled from the following tags from the past 24 hours: #mlp, #mylittlepony #mlpart, #mlpartist\n\nDoes not contain NSFW, AI art, or posts from accounts that primarily repost other artists.\n\nContact: @bryastar.bsky.social', 'Top liked My Little Pony images from the past 7 days.\n\nPooled from the following tags from the past 7 days: #mlp, #mylittlepony #mlpart, #mlpartist\n\nDoes not contain NSFW, AI art, or posts from accounts that primarily repost other artists.\n\nContact: @bryastar.bsky.social', 'Top liked My Little Pony images from the past 3 days.\n\nPooled from the following tags from the past 3 days: #mlp, #mylittlepony #mlpart, #mlpartist\n\nDoes not contain NSFW, AI art, or posts from accounts that primarily repost other artists.\n\nContact: @bryastar.bsky.social']",61,1.61
163,37,163_artfeed_art_artifexdemons_aestrayas,"['artfeed', 'art', 'artifexdemons', 'aestrayas', 'rwxllls', 'supergameplayer64s', 'artnectars', 'catrinas', 'daisysan', 'domxtos']","[""icarvsart's artfeed!!"", ""RWXlll's artfeed"", ""domxto's artfeed""]",64,1.73
164,37,164_cats_paws_reset_dog,"['cats', 'paws', 'reset', 'dog', 'pet', 'dogs', 'p8', 'otago', 'animals', 'retriever']","[""Cats of Blue Sky! Follow the feline feed meow for cats, cats, more cats and yet more cats!\nCaturday is all day, everyday! Just mentions cats, hashtag or not and you'll be included in the feed. // Made at BlueskyFeeds.com"", 'reset & paws 🐾\r\ntreat yourself to a reset & paws (pause) on this feed of cute animals', 'reset & paws 🐾\r\ntreat yourself to a reset & paws (pause) on this feed of cute animals']",1688,45.62
165,37,165_articbleubskysocial_icon_artfight_8ball,"['articbleubskysocial', 'icon', 'artfight', '8ball', 'broomfiebskysocial', 'girribskysocial', 'girri', 'funkybunbskysocial', 'doodlysheerybskysocial', 'erinartistabskysocial']","['An art feed compiling the art and sketches of @kurai0okami.bsky.social\u202c. For folks who just want to follow the art without the outside reskeets and excess commentary cluttering up their dash.', 'Artwork related to the character 8ball and the story Billiards Gang by @articbleu.bsky.social!', 'aggregating posts and art that have Michi and Numi tags in them.\n\nicon art by @macalex.bsky.social\u202c']",90,2.43
166,37,166_chemistry_royal_chemical_journal,"['chemistry', 'royal', 'chemical', 'journal', 'society', 'compchem', 'uk', 'pccp', 'rsc', 'chemsky']","['A feed for posts about work published in Royal Society of Chemistry journals and posts from the journal accounts, the RSC and Chemistry World.\n\nBlueskyFeedCreator.com', 'This feed captures the posting of Green Chemistry papers, relevant announcements and other material related to the Royal Society of Chemistry journal. #GreenChemistry\n\nBlueskyFeedCreator.com', 'This feed covers work published in general chemistry journals at the Royal Society of Chemistry. Focused on Chemical Science, ChemComm, Chem Soc Rev, New Journal of Chemistry, and RSC Advances.\n\nBlueskyFeedCreator.com']",325,8.78
167,37,167_women_men_white_asian,"['women', 'men', 'white', 'asian', 'featuring', 'curated', 'black', 'nsfw', 'interracial', 'bmaf']","['A curated feed of NSFW posts featuring white men and black women.', 'A curated feed of NSFW posts featuring black men and white women.', 'A curated feed of NSFW posts featuring white men and asian women.']",535,14.46
168,37,168_mixture_gap_bridge_digest,"['mixture', 'gap', 'bridge', 'digest', 'outlets', 'politicans', 'politial', 'traditional', 'newspapers', 'texas']","['The latest posts from a mixture of traditional and new media outlets to help bridge the gap in the news we digest daily.', 'The latest posts from a mixture of traditional and new media outlets based or related to Ohio to help bridge the gap in the news we digest daily.', 'The latest posts from a mixture of traditional and new media outlets based or related to Texas to help bridge the gap in the news we digest daily.']",244,6.59
169,36,169_commissioned_aqu_pieces_gotten,"['commissioned', 'aqu', 'pieces', 'gotten', 'brainrotters', 'darkwing', 'mano', 'tripletart', 'jarlaxle', 'papel']","['commissioned art!', 'My art, including personal and commissioned pieces!', 'All my art is here! Doodles, illustrations, digital, ink and paper, you will find them here.\n¡Todo mi arte esta aquí! Bocetos, ilustraciones, digital o a mano con tinta y papel, los encontraras aquí.']",51,1.42
170,36,170_nsfw_wtf_bluesky_horny,"['nsfw', 'wtf', 'bluesky', 'horny', 'gakyoorbithubxyz', 'adored', 'spavelbskysocial', 'rinyafiirocks', 'pron', 'httpsgobskyapppmhnldb']","[""🦋 BlueSky page for Cute NSFW Girls\r\n🐝 only real adult content creators in here\r\n\r\nevery girl is a cutie 🎀 even more when they're naked 🙈\r\n\r\n🌸 admin @lustfullucy\r\n\r\nCute Girls of BlueSky it's a home to all the cuties out there just waiting to be seen and adored✨\n\nBlueskyFeedCreator.com"", 'A feed of all NSFW posts on Bluesky.', ""video posts featuring bluesky's Goddesses, Mistresses, Dominas, Mommies, Daddies, Princesses, Queens, Deities and other supreme femme beings. worship and pay your respects accordingly! \r\n\r\nmore NSFW feeds 👉🏻 clarabelle.club/feeds\r\n\r\nuse #femdom to post directly to feed (dommes ONLY)""]",479,13.31
171,36,171_electric_cars_bmw_vehicles,"['electric', 'cars', 'bmw', 'vehicles', 'ev', 'car', 'rivian', 'emobility', 'aptera', 'vehicle']","['A feed featuring Electric Cars and Ebikes.', 'All about electric vehicles -- this feed is centered around cars and trucks.', 'Matches posts containing:\n\n🔌🚗\n🔌🚌\n🔌🚚\n🔌🛥️\n🔌🚤\n🔌🚢\n🔌🛳️\nEV\nElectric Vehicle\nEVcharging\nElectric car\nElectric Bus\nElectric Ship\nElectric Boat']",526,14.61
172,36,172_ocs_oc_fanart_transformers,"['ocs', 'oc', 'fanart', 'transformers', 'reiner', 'ocxcanon', 'rwby', 'nonimage', 'figures', 'gotten']","['SFW OC art', 'All of my art, ocs + fanart + whatever', 'Collection of fanart of my OCs & art I commissioned']",97,2.69
173,36,173_gowhee_parents_families_kids,"['gowhee', 'parents', 'families', 'kids', 'travel', 'traveling', 'global', 'tips', 'discover', 'curated']","['Discover and share tips with other families about traveling to New Zealand with kids. From local recommendations to tips on how to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag: #gowheenewzealand', 'Discover and share tips with other families about traveling to the U.S with kids. From hotel recommendations to local tips, all curated by GoWhee the only global travel app for parents. Tag: #gowheeUSA', 'Discover and share tips with other families about traveling to Australia with kids. From local recommendations to tips on how to maximize your trip, all curated by GoWhee the only global travel app for parents. Tag: #gowheeaustralia']",2,0.06
174,36,174_marvel_comics_dc_superman,"['marvel', 'comics', 'dc', 'superman', 'dcs', 'mcu', 'kimhubskysocial', 'universe', 'marvelcomics', 'blockbuster']","['Your go-to hub for all things Marvel — from iconic comics and blockbuster movies to thrilling shows and beyond! Stay up to date with everything in the Marvel Universe!', 'Your go-to hub for all things Marvel — from iconic comics and blockbuster movies to thrilling shows and beyond! Stay up to date with everything in the Marvel Universe!', 'Chronological feed of posts about the Marvel universe! Read what people are saying about Marvel comics, games, the MCU, and more!']",949,26.36
175,36,175_india_indian_bollywood_pakistan,"['india', 'indian', 'bollywood', 'pakistan', 'celebrity', 'bleeds', 'capoeira', 'pakistani', 'typical', 'spin']","['News about Jammu and  Kashmir and the Military Forces of India and Pakistan', ""Where Bollywood news bleeds into reality. Cutting through the PR spin to deliver raw, authentic stories from Indian cinema. Not your typical entertainment feed – we're brewing a stronger blend of celebrity culture."", ""Where Bollywood news bleeds into reality. Cutting through the PR spin to deliver raw, authentic stories from Indian cinema. Not your typical entertainment feed – we're brewing a stronger blend of celebrity culture.""]",101,2.81
176,36,176_characters_original_sheets_alstroemeria,"['characters', 'original', 'sheets', 'alstroemeria', 'drews', 'character', 'tears', 'marquer', 'mario', 'dnd']","['Original characters!', 'my original characters', 'my original characters']",27,0.75
177,36,177_nipple_adoptables_skinny_adult,"['nipple', 'adoptables', 'skinny', 'adult', 'fastfootwoche', 'stucky', 'solo', 'sold', 'creators', 'adopts']","['Add the following appropriate tags to ensure your post about resources or support for sex workers appears on this feed: #swresource, #swerresource, #swresources, #swerresources, #swsupport, or #swersupport! Please see our other feeds for promotions and mutual aid. 💛💚', ""Welcome To RedSky Ladies & Gents👹😈 ! \nThis community is for the dirty minds & freaky nasty individuals🍑🍆💦\n\nThis feed is for any SW that's just getting started & actually wants real feedback from a community!\nWe have tons of adult fun here & we 100% respect any & all SW's that joins the feed ! ❤️♥️🔞"", 'An 18+ / NSFW Feed focused on female-presenting breast stimulation/bondage, and nipple play.\r\n\r\nSearching Terms/Tags:\r\n#breastbondage, #nippleplay, nipple play, #nippleclamps, nipple clamps, #nippletorture, nipple torture, #tiedtits, #boundtits,\r\n...(and more)\n\nBlueskyFeedCreator.com']",868,24.11
178,36,178_emoji_tagged_spider_collage,"['emoji', 'tagged', 'spider', 'collage', 'waifu', 'porygon', 'waifus', 'krbk', 'hentai', 'marked']","['ALL my art tagged with a 🔥 emoji', 'ALL my art tagged with a ⛓️ emoji', 'Feed for all of my Art, tagged with the 🎨\n emoji.']",356,9.89
179,35,179_architecture_beauty_interior_buildings,"['architecture', 'beauty', 'interior', 'buildings', 'uplifting', 'hope', 'positivity', 'exist', 'nature', 'design']","['Sustainable architecture and interior design', 'Architecture posts on Bluesky, from Architects all around the world!\nThis feed displays posts containing the words: architecture & #architecture.', 'Posts related to architecture and containing the #architecture tag']",257,7.34
180,35,180_alt_text_image_images,"['alt', 'text', 'image', 'images', 'ktm', 'aeromorph', 'alttext', 'stack', 'adding', 'textlink']","['new images with alt text', 'posts with images and no alt text', 'Image with alt text']",321,9.17
